Datetime,PJME_MW,log_electric_consumption,day_ofyr,roll_mean
2003-05-20,680027.0,13.429887782246384,140,13.385655720051647
2003-05-21,681021.0,13.431348421660605,141,13.38552785834374
2003-05-22,681579.0,13.432167444163454,142,13.384988194815516
2003-05-23,671718.0,13.417593888573439,143,13.384689817703272
2003-05-24,598036.0,13.301406231789677,144,13.385639175961064
2003-05-25,566925.0,13.247982298828488,145,13.386881789315689
2003-05-26,578300.0,13.26784804414631,146,13.386572386412038
2003-05-27,665287.0,13.407973805481953,147,13.388176178217359
2003-05-28,678314.0,13.427365586556054,148,13.391783175753288
2003-05-29,683721.0,13.43530521865616,149,13.397673062116834
2003-05-30,693320.0,13.449246932055246,150,13.405886157928723
2003-05-31,618072.0,13.334360234508033,151,13.412846666420782
2003-06-01,584338.0,13.278234861512555,152,13.420698283046132
2003-06-02,671015.0,13.416546770398442,153,13.429344265570208
2003-06-03,679763.0,13.429499486990034,154,13.432412024458474
2003-06-04,688130.0,13.44173305255439,155,13.433457506352456
2003-06-05,690263.0,13.444827963370933,156,13.435682156165123
2003-06-06,692136.0,13.44753774708187,157,13.44021245225133
2003-06-07,625679.0,13.346592739013124,158,13.443473280466335
2003-06-08,593041.0,13.293018815556078,159,13.445538243668826
2003-06-09,704373.0,13.46506332437552,160,13.448072019360177
2003-06-10,742625.0,13.517946485658042,161,13.459257016425667
2003-06-11,793879.0,13.584686335669184,162,13.469995015812577
2003-06-12,853247.0,13.656804350794417,163,13.482276503156417
2003-06-13,821580.0,13.618984594554334,164,13.497144050894898
2003-06-14,763682.0,13.545906751134263,165,13.510420536409354
2003-06-15,747989.0,13.52514355096613,166,13.51869594939437
2003-06-16,738609.0,13.512523966541632,167,13.529582339083476
2003-06-17,700228.0,13.459161275277873,168,13.541471046666741
2003-06-18,724791.0,13.49363861641527,169,13.550880787625099
2003-06-19,773759.0,13.55901573457727,170,13.559207701612385
2003-06-20,735935.0,13.508897078593604,171,13.565101504920166
2003-06-21,633633.0,13.359225201459397,172,13.571461298517862
2003-06-22,608607.0,13.31892801818629,173,13.584655385784512
2003-06-23,790980.0,13.581027961980071,174,13.600013322359578
2003-06-24,898640.0,13.708637788315452,175,13.612255354201881
2003-06-25,956702.0,13.771247232183567,176,13.623407094313114
2003-06-26,1036745.0,13.851596555333554,177,13.630513210758854
2003-06-27,1005493.0,13.820988526460019,178,13.628436304342026
2003-06-28,779238.0,13.56607179808849,179,13.630024218831252
2003-06-29,792584.0,13.58305377280749,180,13.63110487820367
2003-06-30,936056.0,13.749430582729872,181,13.631185956128018
2003-07-01,884672.0,13.69297223382403,182,13.635391757061358
2003-07-02,868816.0,13.674886644198493,183,13.64322921393455
2003-07-03,814113.0,13.609854455988804,184,13.652491430662883
2003-07-04,827043.0,13.625611967817367,185,13.657544170370125
2003-07-05,905305.0,13.71602718247932,186,13.663045523647535
2003-07-06,911677.0,13.723041039657975,187,13.670002798734041
2003-07-07,992359.0,13.807840215960042,188,13.677791401051651
2003-07-08,1014793.0,13.830195208772555,189,13.684116637804136
2003-07-09,968649.0,13.783657596149927,190,13.686449729040238
2003-07-10,805043.0,13.598650971123178,191,13.684182426124655
2003-07-11,858933.0,13.663446200252704,192,13.678972597765261
2003-07-12,787143.0,13.576165213561971,193,13.674371993849139
2003-07-13,749689.0,13.52741373284783,194,13.677514488347082
2003-07-14,830918.0,13.630286392675137,195,13.681187548992899
2003-07-15,872057.0,13.678610067727266,196,13.681206735303109
2003-07-16,939385.0,13.752980684808628,197,13.680408731532292
2003-07-17,891350.0,13.700492446380007,198,13.67906518969971
2003-07-18,858494.0,13.662934970361057,199,13.680191476162067
2003-07-19,769910.0,13.554028903881619,200,13.681939486418937
2003-07-20,756917.0,13.537008883079386,201,13.680470058159585
2003-07-21,944239.0,13.758134591049606,202,13.678687638837058
2003-07-22,959305.0,13.773964342926304,203,13.676978869580685
2003-07-23,897854.0,13.707762750547273,204,13.673507506780846
2003-07-24,896023.0,13.705721361270465,205,13.67094579152978
2003-07-25,883964.0,13.692171616808636,206,13.674137229045652
2003-07-26,850910.0,13.654061644030902,207,13.676071608428762
2003-07-27,878437.0,13.685899470890368,208,13.678204371167755
2003-07-28,936559.0,13.749967799415733,209,13.681881532260833
2003-07-29,865124.0,13.67062812824117,210,13.685477399300401
2003-07-30,836739.0,13.637267472886176,211,13.688669881713471
2003-07-31,840196.0,13.641390476934841,212,13.690595556890463
2003-08-01,868529.0,13.67455625500969,213,13.694779265840438
2003-08-02,868813.0,13.674883191217448,214,13.700166447419779
2003-08-03,867294.0,13.673133298627171,215,13.704717400842998
2003-08-04,945997.0,13.759994676781629,216,13.706894318312743
2003-08-05,920799.0,13.732997050377056,217,13.703788773716031
2003-08-06,901603.0,13.711929569120091,218,13.701049798756102
2003-08-07,880294.0,13.688011221567539,219,13.702693113733677
2003-08-08,906738.0,13.717608822979827,220,13.706718503886814
2003-08-09,835581.0,13.635882570253806,221,13.71257362217244
2003-08-10,830991.0,13.630374243454026,222,13.711784801462818
2003-08-11,918935.0,13.730970669783089,223,13.702617149770566
2003-08-12,953600.0,13.767999575293222,224,13.69892115281903
