day_ofyr,roll_mean
1,13.561803282260556
2,13.563139723138988
3,13.566295815058597
4,13.56796156610651
5,13.571148852889543
6,13.576591846022238
7,13.582656245400477
8,13.590697844200557
9,13.599858416081029
10,13.606833405839316
11,13.613068104934472
12,13.617492379628864
13,13.622350011638217
14,13.629789710076068
15,13.624289669634754
16,13.61878962919344
17,13.621796012910956
18,13.625161425239725
19,13.628035273724
20,13.629352632657358
21,13.629651085747582
22,13.628268306135784
23,13.628247599983476
24,13.628572040907425
25,13.62749796039418
26,13.626298701081565
27,13.62560603696835
28,13.62512641570552
29,13.624556508118818
30,13.62366728964604
31,13.62103299043844
32,13.619075976622536
33,13.615412326726279
34,13.611785740205498
35,13.609508746724646
36,13.606727238449498
37,13.603203267939595
38,13.597458246174519
39,13.591326068395517
40,13.586584266076969
41,13.58311037766286
42,13.579934670084548
43,13.576805911800012
44,13.574998678548209
45,13.573962922129686
46,13.572196933946948
47,13.57007464949176
48,13.567994665596324
49,13.566077378492684
50,13.565624670621391
51,13.563409879118646
52,13.56091675085622
53,13.558251335541101
54,13.555091423427127
55,13.553371150367344
56,13.553505510682703
57,13.552915308071206
58,13.550159943734602
59,13.54740505530648
60,13.544647186805594
61,13.542036544506802
62,13.53716839697409
63,13.534243407972689
64,13.531168490653041
65,13.528028395160863
66,13.527275703239148
67,13.526127708037794
68,13.524479521513367
69,13.52335665139966
70,13.520334176461827
71,13.516223927890566
72,13.512055266366517
73,13.506972221185816
74,13.502149649983421
75,13.496801588054767
76,13.492677496787444
77,13.489507548259663
78,13.48587775149516
79,13.48268611165895
80,13.479792123667137
81,13.478554298517064
82,13.477282760363863
83,13.475359717229649
84,13.472457865155402
85,13.468653771664483
86,13.465771907951142
87,13.462159015580074
88,13.458709177952779
89,13.455475150340718
90,13.453834514758839
91,13.45101818000472
92,13.4486438886299
93,13.447489748530312
94,13.445793269009371
95,13.445155721382546
96,13.44368053519096
97,13.440796697001845
98,13.437808607291842
99,13.436030335418469
100,13.43457763808159
101,13.433904891318598
102,13.432821957083776
103,13.432665525114917
104,13.43130376364049
105,13.42926960876153
106,13.427317971412501
107,13.42566106854542
108,13.424113329648842
109,13.422939231501903
110,13.420921625727114
111,13.41808332629764
112,13.415343671829627
113,13.413701459664445
114,13.412965633530952
115,13.413496326334101
116,13.412811319904618
117,13.412495289249687
118,13.41322686400607
119,13.414465527800216
120,13.415880097138349
121,13.41599634014855
122,13.41540230305032
123,13.415620786806723
124,13.416144533500386
125,13.416389778432698
126,13.41781353403008
127,13.41890678746152
128,13.418917037993964
129,13.419368816778036
130,13.421312191904534
131,13.42477515827461
132,13.428119802541064
133,13.429475731270443
134,13.430504413171906
135,13.43266266882615
136,13.435191054884262
137,13.43521612781472
138,13.437481649621823
139,13.439638550161636
140,13.442015642561309
141,13.443565799652358
142,13.4452925437363
143,13.448994987016214
144,13.454289525671603
145,13.457362010739516
146,13.46065180066563
147,13.4651990505792
148,13.471854754268014
149,13.480030328916953
150,13.487538444789674
151,13.492391083153674
152,13.49715897954528
153,13.503294864554631
154,13.50804241602006
155,13.51204344483283
156,13.517021268303433
157,13.52212638484154
158,13.525602691162714
159,13.526311863446663
160,13.52857274151852
161,13.534956935692527
162,13.544063974256218
163,13.55375116058633
164,13.564729866328978
165,13.575904071037915
166,13.582982237017841
167,13.591188616170221
168,13.59940219733442
169,13.607910479017473
170,13.616402033690338
171,13.622390447540445
172,13.626266082427549
173,13.634283878228104
174,13.640627315579726
175,13.644044410088572
176,13.645094689434094
177,13.645978174042966
178,13.645747165644924
179,13.647113253512636
180,13.650135983335277
181,13.651562139528172
182,13.653798990406997
183,13.658893106535594
184,13.664293291282323
185,13.669116339559974
186,13.675929431664088
187,13.683734486296505
188,13.68996913559737
189,13.695162090124068
190,13.698736118527655
191,13.700152597144854
192,13.697247709723605
193,13.694787193349166
194,13.695222182177297
195,13.696828374078635
196,13.697554922740533
197,13.698606009799605
198,13.699333841445586
199,13.70059256302336
200,13.704648050842692
201,13.708009802042454
202,13.711886593905476
203,13.716858888598445
204,13.720973439467949
205,13.720103616990183
206,13.718396942716797
207,13.71686810662727
208,13.714454904548782
209,13.715738454070557
210,13.719276362612991
211,13.722629212439912
212,13.726465504094714
213,13.73034461524876
214,13.730608414135338
215,13.730114672015562
216,13.730215315610804
217,13.72876045804212
218,13.72608718863303
219,13.724896534246177
220,13.728248956225826
221,13.73118209022714
222,13.730266537015698
223,13.726076484452552
224,13.723327204009646
225,13.720468889546037
226,13.717525131225045
227,13.714974427395
228,13.711694753900296
229,13.70751912870766
230,13.701380587501909
231,13.692531321610664
232,13.683436582695016
233,13.679370073444336
234,13.679602082366964
235,13.678067958140442
236,13.675210086383993
237,13.668428884999141
238,13.662385430388275
239,13.65547741711443
240,13.647813417225304
241,13.638738007329914
242,13.630351460380288
243,13.624625632398946
244,13.621022722811357
245,13.618349145611136
246,13.615070247270207
247,13.609830968680924
248,13.601547590628478
249,13.59389150576034
250,13.589924693212582
251,13.587551202195787
252,13.584784023570474
253,13.582087452585428
254,13.57701217987763
255,13.571374410763275
256,13.56534579199486
257,13.559127403434113
258,13.553853242877665
259,13.550039168681002
260,13.5459644774425
261,13.54104323061998
262,13.535753477256623
263,13.53319427655114
264,13.531118871265933
265,13.530940752977628
266,13.526412739161554
267,13.5221471129058
268,13.51687838118436
269,13.511923896815658
270,13.50822403567356
271,13.503215152503047
272,13.495722003861822
273,13.487684299256227
274,13.480479506998115
275,13.474180140180955
276,13.469197956418828
277,13.46466044062812
278,13.460270579679007
279,13.456172662700682
280,13.451252962249745
281,13.44645715170094
282,13.443969081108737
283,13.441754806107706
284,13.439786734722496
285,13.437735592842637
286,13.43558096892725
287,13.434393565958356
288,13.434809520398488
289,13.43554734964086
290,13.435131255278211
291,13.433604225874442
292,13.432053462254789
293,13.430337815417484
294,13.430750557914566
295,13.429655258327385
296,13.429528699641423
297,13.430152395900295
298,13.43074258266439
299,13.431737186023945
300,13.433484391872359
301,13.43552446488666
302,13.437849828617594
303,13.439356232777936
304,13.441163701120903
305,13.443771236963176
306,13.44598449349258
307,13.44807816795471
308,13.450532956738405
309,13.453213710293207
310,13.45562165044297
311,13.456997369242293
312,13.457958149178445
313,13.458497771819854
314,13.461109430777356
315,13.462238931119284
316,13.464123248848097
317,13.464411133743475
318,13.464150087172257
319,13.463475859410806
320,13.464952342425425
321,13.466787032849819
322,13.469457812663606
323,13.473499095804534
324,13.478778229931745
325,13.48479908956507
326,13.491119439949014
327,13.497027261144186
328,13.503348912527823
329,13.508557194180575
330,13.51273889553805
331,13.51807686212804
332,13.522391952049649
333,13.525645373712386
334,13.5307972022124
335,13.536543212654152
336,13.541644601799817
337,13.54523460408035
338,13.549603396206761
339,13.55506723972228
340,13.560176831088153
341,13.565650151781444
342,13.571587407134658
343,13.577157940596873
344,13.578687124736113
345,13.579421078877047
346,13.580558227920719
347,13.584061021309019
348,13.588078176840867
349,13.591668525792162
350,13.593130038779286
351,13.592380464024558
352,13.589176030834237
353,13.568574847166394
354,13.563576149222287
355,13.560833117907848
356,13.556989099310071
357,13.55497011827886
358,13.55471807003648
359,13.55600574479397
360,13.557208010528349
361,13.558390696964617
362,13.560087002209434
363,13.561940293386465
364,13.562972896077065
365,13.562570994150454
366,13.573281163340734
